step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
237,0,0.457694,0.000000,0.652263,6.15e-05,0.1063,0.04,
238,0,0.451425,0.000000,0.648150,6.12e-05,0.1442,0.04,
239,0,0.460387,0.000000,0.690441,6.08e-05,0.2306,0.04,
239,0,,,,,,,0.463412
240,0,0.462942,0.000000,0.713766,6.05e-05,0.1874,0.00,
241,1,0.449743,0.000000,0.621192,6.01e-05,0.1144,0.01,
242,1,0.469430,0.000000,0.674464,5.97e-05,0.1254,0.04,
243,1,0.465463,0.000000,0.638867,5.94e-05,0.0938,0.04,
244,1,0.464892,0.000000,0.636337,5.90e-05,0.1125,0.04,
245,1,0.459757,0.000000,0.643949,5.86e-05,0.1044,0.04,
246,1,0.457657,0.000000,0.670200,5.83e-05,0.1214,0.04,
247,1,0.458982,0.000000,0.623121,5.79e-05,0.1241,0.04,
248,1,0.465572,0.000000,0.801543,5.75e-05,0.1576,0.04,
249,1,0.460581,0.000000,0.669461,5.72e-05,0.1068,0.04,
250,1,0.460889,0.000000,0.698378,5.68e-05,0.1149,0.04,
251,1,0.454602,0.000000,0.652309,5.64e-05,0.1204,0.04,
252,1,0.458774,0.000000,0.652306,5.61e-05,0.1443,0.04,
253,1,0.452862,0.000000,0.676281,5.57e-05,0.1690,0.04,
254,1,0.453462,0.000000,0.653791,5.53e-05,0.1258,0.04,
255,1,0.454844,0.000000,0.643146,5.50e-05,0.1414,0.04,
256,1,0.467911,0.000000,0.673867,5.46e-05,0.2940,0.04,
257,1,0.464604,0.000000,0.664542,5.42e-05,0.1261,0.04,
258,1,0.461785,0.000000,0.665769,5.39e-05,0.1472,0.04,
259,1,0.455140,0.000000,0.713700,5.35e-05,0.1777,0.04,
260,1,0.456107,0.000000,0.670744,5.31e-05,0.0990,0.04,
261,1,0.462451,0.000000,0.690418,5.28e-05,0.0959,0.04,
262,1,0.464283,0.000000,0.686251,5.24e-05,0.0883,0.04,
263,1,0.462355,0.000000,0.691669,5.20e-05,0.1815,0.04,
264,1,0.464150,0.000000,0.651492,5.17e-05,0.1523,0.04,
265,1,0.464383,0.000000,0.668932,5.13e-05,0.1212,0.04,
266,1,0.458000,0.000000,0.635694,5.09e-05,0.1587,0.04,
267,1,0.454462,0.000000,0.678222,5.06e-05,0.2065,0.04,
268,1,0.457300,0.000000,0.644865,5.02e-05,0.1442,0.04,
269,1,0.464415,0.000000,0.675088,4.98e-05,0.1300,0.04,
270,1,0.459613,0.000000,0.708050,4.94e-05,0.2675,0.04,
